date,agent_equity,agent_return,spy_equity,spy_return,cash,costs,trades,active_positions,latest_weights,execution,agent_drawdown,spy_drawdown
2024-10-10,987.477105264509,-0.012522894735491064,1147.9394257304973,0.14793942573049734,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.041562218465791,-0.0017500255397127074
2024-10-11,989.5440696940611,-0.010455930305938832,1154.813577394423,0.15481357739442303,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.03955603848267186,0.0
2024-10-14,994.5732451805945,-0.005426754819405466,1164.2580111532989,0.16425801115329897,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.03467475893648109,0.0
2024-10-15,981.0486498126716,-0.01895135018732841,1155.2121018526748,0.15521210185267487,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.04780162852310077,-0.0077696775233381254
2024-10-16,988.6733161198508,-0.011326683880149124,1160.2331208663588,0.16023312086635877,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.040401185291119135,-0.0034570432398854933
2024-10-17,983.8004542147723,-0.016199545785227643,1160.3327215777742,0.16033272157777434,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.04513074806186812,-0.0033714945810304764
2024-10-18,986.8045416479406,-0.013195458352059375,1164.7960252525684,0.16479602525256842,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.04221500360599095,0.0
2024-10-21,980.7063389316161,-0.019293661068383927,1162.8831808205136,0.16288318082051356,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.04813387286546045,-0.0016422140791902962
2024-10-22,981.5912950577058,-0.018408704942294185,1162.26551047463,0.16226551047463,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.047274941167983364,-0.002172496062037732
2024-10-23,982.7781496496461,-0.01722185035035384,1151.6454478057997,0.15164544780579958,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.04612298911153723,-0.011290026031739897
2024-10-24,977.8621512922057,-0.02213784870779434,1154.1360736541358,0.15413607365413573,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.05089441979546072,-0.009151775390134231
2024-10-25,971.8240250602039,-0.028175974939796067,1153.737549195884,0.1537375491958839,104.8838690852296,5.724643717971324,41,5,"{'JNJ': 0.224222, 'MA': 0.194971, 'UNH': 0.189095, 'ABBV': 0.158472, 'PFE': 0.13324}",rebalance_at_open_mark_at_close,-0.05675497927534168,-0.009493916374144984
